Resort,City,State,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Lift ticket (USD)
Maple Ski Ridge,Schenectady,New York,1200,750,450,25,10,3,186,39
Spring Mountain Adventure,Schwenksville,Pennsylvania,528,78,450,45,9,6,20,48
Camelback Mountain Resort,Scranton,Pennsylvania,2130,1330,800,166,35,16,50,78
Elk Mountain Ski Resort,Scranton,Pennsylvania,2667,1742,925,180,27,7,60,69
Montage Mountain Resorts,Scranton,Pennsylvania,1960,960,1000,140,26,9,60,58
Seven Springs Mountain Resort,Seven Springs,Pennsylvania,2994,2240,750,285,40,14,150,76
Navarino Hills,Shiocton,Wisconsin,885,785,100,670,43,4,186,63
Ski Ward,Shrewsbury,Massachusetts,420,210,210,45,9,6,80,55
Kendall Mountain,Silverton,Colorado,9540,9300,240,16,11,1,200,20
Silverton Mountain,Silverton,Colorado,13487,10400,3087,1819,48,1,450,79
Great Bear Ski Valley,Sioux Falls,South Dakota,1530,1352,178,220,14,4,150,29
Hoodoo,Sisters,Oregon,5703,4668,1035,806,32,5,360,56
Little Switzerland Ski Area,Slinger,Wisconsin,1269,1069,200,50,18,8,45,43
Boreal,Soda Springs,California,7700,7200,500,380,41,8,400,74
Soda Springs,Soda Springs,California,7325,6673,652,200,15,2,400,50
Brantling Ski Slopes,Sodus,New York,850,600,250,20,10,5,110,32
Dodge Ridge,Sonora,California,8200,6600,1600,832,62,12,300,79
Heavenly Mountain Resort ,South Lake Tahoe,California,10067,7200,3500,4800,94,30,360,164
Oak Mountain,Speculator,New York,2400,1650,750,46,22,4,120,40
49 Degrees North,Spokane,Washington,5774,3923,1851,2325,82,6,300,62
Mount Spokane,Spokane,Washington,5889,3818,2071,1704,52,8,300,62
Hard'ack Recreation Area,St. Albans,Vermont,4484,3277,100,670,43,1,186,63
Ski Brule,Stambaugh,Michigan,1861,1361,500,150,17,11,150,55
Tussey Mountain Ski and Recreation,State College,Pennsylvania,1750,1230,520,38,7,3,41,62
Marble Mountain Ski Resort,Steady Brook,Newfoundland and Labrador,1791,33,1759,230,40,5,192,34
Howelson Hill,Steamboat Springs,Colorado,7136,6696,440,50,17,4,150,30
Steamboat Springs ,Steamboat Springs,Colorado,10568,6900,3668,2956,165,16,349,155
Stevens Pass ,Stevens Pass,Washington,5845,4061,1800,1125,37,10,450,111
Stowe Mountain Resort,Stowe,Vermont,3719,1559,2160,485,116,13,333,139
Sun Valley,Sun Valley,Idaho,9150,5750,3400,2154,121,18,220,133
Mont Du Lac Resort,Superior,Wisconsin,920,640,270,10,11,2,55,40
Sipapu,Taos,New Mexico,9225,8200,1055,200,41,6,190,45
Taos Ski Valley ,Taos,New Mexico,12481,9200,3281,1294,110,14,300,110
Wild Mountain,Taylors Falls,Minnesota,1113,813,300,100,26,9,50,56
Telluride Ski Resort,Telluride,Colorado,13150,8725,4425,2000,147,18,309,149
Meadowlark Ski Lodge,Ten Sleep,Wyoming,9500,8500,1000,300,14,3,186,48
Shames Mountain,Terrace,British Columbia,3900,2300,1600,225,28,3,480,43
Jackson Hole Mountain Resort,Teton Village,Wyoming,10450,6311,4139,2500,133,15,459,140
Crystal Mountain,Thompsonville,Michigan,1132,757,375,102,58,8,132,74
Buckhorn Ski and Snowboard Club,Three Points,California,7903,7203,680,40,5,2,180,63
Mount Waterman,Three Points,California,8030,7000,1030,150,27,3,180,60
Spout Springs,Tollgate,Oregon,5450,4920,530,200,17,2,130,63
Sitzmark Lifts,Tonasket,Washington,4950,4300,650,670,11,2,186,45
Hickory Hills Ski Area,Traverse City,Michigan,4484,3277,237,125,8,5,186,25
Mount Holiday Ski and Recreational Area,Traverse City,Michigan,440,240,200,45,12,4,120,34
Northstar California,Truckee,California,8610,6330,2280,2904,93,19,350,169
Squaw Valley-Alpine Meadows ,Truckee,California,9050,6200,2850,6400,277,43,450,169
Tahoe Donner,Truckee,California,7350,6750,600,120,10,3,400,94
Labrador Mountain,Truxton,New York,1825,1125,700,250,23,4,125,61
Mount Lemmon Ski Valley,Tucson,Arizona,9157,8200,957,200,21,3,180,60
Song Mountain Resort,Tully,New York,1940,1240,700,93,24,5,125,61
Big Tupper Ski Area,Tupper Lake,New York,4484,3277,1178,670,43,7,186,63
Snow Ridge Ski Resort,Turin,New York,2000,1350,650,130,21,6,230,48
Sierra-at-Tahoe,Twin Bridges,California,8852,6640,2212,2000,46,12,480,110
Magic Mountain,Twin Falls,Idaho,7240,6540,700,120,11,4,230,33
Loup Loup Ski Bowl,Twisp,Washington,5280,4040,1240,550,10,3,150,55
Denton Hill State Park,Ulysses,Pennsylvania,2460,1800,660,670,43,5,186,63
Whitecap Mountains Resort,Upson,Wisconsin,1750,1295,400,400,43,5,200,65
Vail Ski Resort,Vail,Colorado,11570,8120,3450,5289,195,31,354,209
Mountain Creek,Vernon,New Jersey,1490,450,1040,167,46,9,65,80
Silver Star Mountain Resort ,Vernon,British Columbia,6282,3789,2500,3269,128,12,275,81
Mountain Creek,Vernon Township,New Jersey,1480,440,1040,200,41,8,65,80
Greek Peak Mountain Resort,Virgil,New York,2200,1148,952,220,55,9,122,79
Coffee Mill Ski Area,Wabasha,Minnesota,1150,725,425,40,14,3,48,37
Mad River Glen,Waitsfield,Vermont,3637,1600,2037,115,52,5,230,79
Frost Fire,Walhalla,North Dakota,1400,1070,330,670,10,3,186,23
Sugarbush Resort,Warren,Vermont,4083,1483,2600,508,111,16,269,128
Mount Peter,Warwick,New York,1250,800,450,69,14,5,50,62
Bolton Valley ,Waterbury,Vermont,3150,2100,1704,300,71,6,312,69
Mount Southington,Waterbury,Connecticut,525,100,425,51,14,7,80,62
Dry Hill Ski Area,Watertown,New York,950,650,300,37,7,3,125,38
Badger Mountain,Waterville,Washington,3470,3145,325,10,5,3,120,10
Eaton Mountain,Waterville,Maine,840,220,620,130,18,2,72,15
Waterville Valley Resort,Waterville Valley,New Hampshire,3840,1820,2020,220,50,11,150,69
Granite Peak Ski Area,Wausau,Wisconsin,1950,1250,700,220,75,7,75,49
Mission Ridge,Wenatchee,Washington,6820,4570,2250,2000,36,6,200,75
Ski Wentworth,Wentworth,Nova Scotia,990,715,815,150,20,3,150,35
Sunburst Winter Sports Park,West Bend,Wisconsin,1100,866,214,40,12,9,50,44
Cypress Mountain ,West Vancouver,British Columbia,4724,2985,2001,600,53,6,245,60
Snow Creek,Weston,Missouri,1099,799,300,25,12,5,20,47
Oglebay Resort,Wheeling,West Virginia,4484,3277,168,670,1,1,186,28
Whistler Blackcomb ,Whistler,British Columbia,7494,2140,5280,8171,200,26,404,93
Jack Frost - Big Boulder Ski Area,White Haven,Pennsylvania,2000,1400,600,145,35,22,50,68
Alpine Valley,White Lake,Michigan,500,126,374,100,25,14,20,48
Mount Sima,Whitehorse,Yukon,3900,2857,1043,92,15,3,186,37
Nordic Mountain,Wild Rose,Wisconsin,1137,872,265,60,18,7,80,39
Hidden Valley,Wildwood,Missouri,860,540,320,65,17,9,19,49
Elk Ridge,Williams,Arizona,8150,7500,650,37,10,2,150,40
Wilmot Mountain Ski Resort,Wilmot,Wisconsin,960,770,190,120,23,11,48,65
Windham Mountain,Windham,New York,3100,1500,1600,279,52,12,100,98
Stratton Mountain Resort ,Winhall,Vermont,3875,1872,2003,670,99,11,171,125
Winter Park Resort,Winter Park,Colorado,12060,9000,3060,3000,143,25,365,109
Christmas Mountain,Wisconsin Dells,Wisconsin,1250,1000,250,40,16,3,20,45
Alta Sierra,Wofford Heights,California,7091,6491,600,670,6,2,80,65
Abenaki Ski Area,Wolfeboro,New Hampshire,815,600,215,18,7,2,186,25
Wachusett Mountain,Worcester,Massachusetts,2006,1006,1000,110,22,7,100,73
Mountain High,Wrightwood,California,8200,6600,1600,290,59,13,132,79
White Pass,Yakima,Washington,6500,4500,2000,1400,45,8,350,69
Badger Pass,Yosemite National Park,California,8000,7200,800,90,10,5,300,59
